"Eastbourne juniors","King Edwards Parade",50.76191,0.286914
"Eastbourne","Shinewater Park, Eastbourne",50.806248,0.290451
"Eastleigh","Fleming Park Old Golf Course, Eastleigh",50.971433,-1.374032
"Eastney juniors","Bransbury Park",50.789698,-1.054334
"Eastville juniors","Eastville Park",51.476132,-2.554961
"Eastville","Eastville Park",51.475453,-2.554304
"Eaton juniors","Eaton Park",52.619606,1.25856
"Ecos","Ecos Park, Ballymena",54.867371,-6.259117
"Eden Project","Eden Project",50.358315,-4.74285
"Edenbrook Country","Edenbrook Country Park",51.280199,-0.867088
"Edgbaston Reservoir juniors","Edgbaston Reservoir",52.477393,-1.942842
"Edgbaston Reservoir","Edgbaston Reservoir",52.476722,-1.936437
"Edinburgh","Edinburgh Promenade",55.978806,-3.291585
"Egham Orbit","Egham Orbit",51.428178,-0.540107
"Eglinton","Eglinton Country Park",55.643935,-4.669662
"Elder Park juniors","Elder Park",55.863242,-4.325388
"Elder Park","Elder Park",55.863235,-4.32197
"Elgin","Cooper Park",57.653393,-3.313072
"Ellesmere Port","Whitby Park",53.272524,-2.902542
"Ellon","Ellon Academy Community Campus",57.359262,-2.056968
"Eltham juniors","Eltham Park South",51.455664,0.068186
"Ely Country juniors","Ely Country Park",52.399139,0.275369
"Endcliffe","Endcliffe Park, Sheffield",53.368631,-1.507364
"Enfield Town juniors","Enfield Town Park",51.648422,-0.084363
"Enniskillen","Enniskillen",54.343834,-7.642293
"Erddig","Erddig Hall",53.027137,-3.006833
"Erskine Waterfront","Erskine Waterfront",55.907749,-4.447774
"Evesham juniors","Evesham",52.09023,-1.958169
"Evesham","Evesham",52.090191,-1.958122
"Exeter Riverside","Exeter Quay & River Valley Park",50.713762,-3.525833
"Exmouth","Exmouth",50.614697,-3.412392
"Eyemouth Primary Playing Fields juniors","Eyemouth Primary Playing Fields",55.868943,-2.093581
"Falinge Park juniors","Falinge Park juniors",53.623457,-2.164
"Falkirk","Callendar Park, Falkirk",55.99543,-3.766712
"Falls","Falls Park, Belfast",54.586363,-5.978879
"Fareham","Cams Hall Estate",50.848448,-1.167385
"Faskally Forest","Faskally Forest",56.7118,-3.767296
"Faversham Recreation Ground juniors","The Recreation Ground",51.312083,0.897824
"FeldyRoo Fitness Trail","FeldyRoo Fitness Trail",56.622075,-3.875777
"Felixstowe Prom juniors","Felixstowe Prom",51.957785,1.345726
"Felixstowe","Undercliff Road West",51.957778,1.345741
"Fell Foot","Fell Foot Park",54.274736,-2.952259
"Ferry Meadows","Ferry Meadows Country Park",52.565563,-0.308132
"Fife Cycle Park juniors","Fife Cycle Park",56.140406,-3.320574
"Figges Marsh juniors","Figges Marsh",51.414902,-0.16132
"Finsbury Park","Finsbury Park",51.569595,-0.104145
"Fire Service College","Fire Service College",51.990688,-1.675487
"Fitzmaurice Park","Fitzmaurice Park",52.638196,1.36115
"Five Arches","Norton-Radstock Greenway",51.292354,-2.452787
"Flatts Lane","Flatts Lane Woodland Country Park",54.543872,-1.151741
"Fleetwood Promenade","Outer Promenade",53.927366,-3.016919
"Flegg High","Flegg High Ormiston Academy",52.713022,1.640492
"Fletcher Moss","Fletcher Moss Park",53.40999,-2.23551
"Florence Park juniors","Florence Park",51.737483,-1.223801
"Folkestone","The Leas",51.075729,1.172753
"Foots Cray Meadows","Foots Cray Meadows",51.432103,0.133269
"Ford","Ford Park",54.198427,-3.088135
"Forest Rec juniors","Forest Recreation Ground",52.965238,-1.160495
"Forest Rec","Forest Recreation Gound, Nottingham",52.965352,-1.159766
"Forest of Dean juniors","Coverham Enclosure, Forest of Dean",51.808701,-2.605219
"Forest of Dean","Coverham Enclosure, Forest of Dean",51.808701,-2.605219
"Forfar Loch","Forfar Loch",56.642663,-2.908213
"Forster Memorial Park juniors","Forster Memorial Park",51.432132,-0.007122
"Fort William","Nevis Range",56.851484,-4.999161
"Fountains Abbey","Fountains Abbey",54.110196,-1.581983
"Friary Park juniors","Friary Park",51.619706,-0.162187
"Frickley Country","Frickley Country Park",53.588573,-1.290457
"Frimley Lodge","Frimley Lodge Park",51.298622,-0.724851
"Frogmary Green Farm","Frogmary Green Farm",50.941688,-2.824426
"Fulbourn Hospital","Fulbourn Hospital",52.184131,0.186094
"Fulham Palace","Bishops Park",51.472465,-0.218493
"Fulwell Quarry","Fulwell Quarry",54.9329,-1.396723
"Furzefield Leisure Centre juniors","Furzefield Leisure Centre",51.702931,-0.208328
"GEC Rec juniors","GEC Recreational Ground",52.365561,-1.239956
"Gadebridge Park juniors","Gadebridge Park",51.760476,-0.473894
"Gadebridge","Gadebridge Park",51.758909,-0.473542
"Ganavan Sands","Ganavan",56.437766,-5.469021
"Gang Warily juniors","Gang Warily juniors",50.824705,-1.371549
"Ganger Farm","Ganger Farm Sports Park",51.009374,-1.464821
"Gardenhurst Estate juniors","Gardenhurst Estate Park",53.13934,-2.668462
"Garvagh Forest","Garvagh Forest",54.977416,-6.695537
"Gateshead"," Saltwell Park, Gateshead",54.944733,-1.602094
"Gedling juniors","Gedling Country Park",52.99389,-1.087241
"Gedling","Gedling Country Park",52.993919,-1.087124
"Girvan Prom","Knockcushan Street",55.243994,-4.862538
"Gladstone","Gladstone Park, London",51.556982,-0.228223
"Glossop","Manor Park",53.447019,-1.939503
"Gloucester City","Gloucester Park",51.858707,-2.243129
"Gloucester North","Plock Court Playing Fields",51.878304,-2.231707
"Gnoll juniors","Gnoll Estate Country Park",51.662428,-3.787224
"Gnoll","Gnoll Estate Country Park",51.661114,-3.788616
